Entire Dataset 690,AUC,Accuracy,Mean,165 Datasets (CBLANE),AUC,Accuracy
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk,0.9477168322,0.8723564744,,wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk,0.946578145,0.8719303608
wgEncodeAwgTfbsHaibHepg2NrsfV0416101UniPk,0.938808322,0.8576642275,,wgEncodeAwgTfbsSydhGm12878TbpIggmusUniPk,0.9660969377,0.9062063694
wgEncodeAwgTfbsSydhK562Gata1UcdUniPk,0.9565560818,0.8807982802,,wgEncodeAwgTfbsSydhGm12891NfkbTnfaIggrabUniPk,0.9573817253,0.8891317248
wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk,0.9408131242,0.8733392358,,wgEncodeAwgTfbsSydhGm12892NfkbTnfaIggrabUniPk,0.9755902886,0.9215983748
wgEncodeAwgTfbsHaibGm12892Taf1V0416102UniPk,0.9640542865,0.8992314339,,wgEncodeAwgTfbsSydhGm18526NfkbTnfaIggrabUniPk,0.9758082628,0.921875
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk,0.8365650773,0.75,,wgEncodeAwgTfbsSydhGm19099NfkbTnfaIggrabUniPk,0.8678267598,0.7857740521
wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk,0.9534936547,0.8827999234,,wgEncodeAwgTfbsSydhH1hescCebpbIggrabUniPk,0.9882903099,0.9568631649
wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk,0.9593886733,0.8957585692,,wgEncodeAwgTfbsSydhH1hescCtbp2UcdUniPk,0.880153656,0.7937802672
wgEncodeAwgTfbsSydhHepg2P300sc582IggrabUniPk,0.9160640836,0.8357952833,,wgEncodeAwgTfbsSydhH1hescJundIggrabUniPk,0.9663886428,0.9091265202
wgEncodeAwgTfbsSydhGm15510NfkbTnfaIggrabUniPk,0.9446789026,0.8716951609,,wgEncodeAwgTfbsSydhH1hescMaxUcdUniPk,0.8734467626,0.7879858613
wgEncodeAwgTfbsSydhK562Hmgn3UniPk,0.9528124928,0.8684820533,,wgEncodeAwgTfbsSydhH1hescSin3anb6001263IggrabUniPk,0.9774931073,0.9204112887
wgEncodeAwgTfbsSydhGm12878Rfx5200401194IggmusUniPk,0.8648395538,0.7834020257,,wgEncodeAwgTfbsSydhHelas3CebpbIggrabUniPk,0.9495642185,0.8807730079
wgEncodeAwgTfbsHaibT47dEralphaaPcr2xGen1hUniPk,0.97793293,0.9240867496,,wgEncodeAwgTfbsSydhHelas3CfosUniPk,0.9721619487,0.9172911644
wgEncodeAwgTfbsSydhHelas3Tcf7l2UcdUniPk,0.9361312985,0.8574766517,,wgEncodeAwgTfbsSydhHelas3CjunIggrabUniPk,0.9873073697,0.9552752376
wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk,0.9829521179,0.9473945498,,wgEncodeAwgTfbsSydhHelas3Hae2f1UniPk,0.9182189703,0.8355596662
wgEncodeAwgTfbsSydhK562CmycIfna6hUniPk,0.9061085582,0.8177706599,,wgEncodeAwgTfbsSydhHelas3JundIggrabUniPk,0.8711793423,0.780534327
wgEncodeAwgTfbsHaibK562Trim28sc81411V0422111UniPk,0.8854749799,0.7899590135,,wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk,0.9778612256,0.9229578376
wgEncodeAwgTfbsSydhHepg2Chd2ab68301IggrabUniPk,0.8567798734,0.7746478915,,wgEncodeAwgTfbsSydhHelas3P300sc584sc584IggrabUniPk,0.9000459313,0.8191766739
wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk,0.9425350428,0.8647398949,,wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk,0.9322009683,0.8519473672
wgEncodeAwgTfbsHaibA549Zbtb33V0422111Etoh02UniPk,0.9342635274,0.8570683599,,wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk,0.9820811152,0.9429690838
wgEncodeAwgTfbsHaibGm12878Six5Pcr1xUniPk,0.8960863948,0.8155564666,,wgEncodeAwgTfbsSydhHepg2CebpbIggrabUniPk,0.9564414024,0.8865638971
wgEncodeAwgTfbsBroadHuvecPol2bUniPk,0.9170065522,0.8350177407,,wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk,0.908562243,0.8257454038
wgEncodeAwgTfbsHaibHelas3NrsfPcr1xUniPk,0.9598915577,0.8950868249,,wgEncodeAwgTfbsSydhHepg2Corestsc30189IggrabUniPk,0.9608524442,0.898622036
wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk,0.9162877202,0.8284897804,,wgEncodeAwgTfbsSydhHepg2JundIggrabUniPk,0.8974073529,0.8146048188
wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk,0.9566088319,0.8905295134,,wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk,0.8565869927,0.7662921548
wgEncodeAwgTfbsSydhHepg2Pol2s2IggrabUniPk,0.9429893494,0.8620283008,,wgEncodeAwgTfbsSydhHepg2TbpIggrabUniPk,0.9683965445,0.9058635831
wgEncodeAwgTfbsHaibGm12878Zbtb33Pcr1xUniPk,0.9295373559,0.8520624042,,wgEncodeAwgTfbsSydhHuvecCfosUcdUniPk,0.9767214656,0.9243617654
wgEncodeAwgTfbsSydhHelas3Tcf7l2c9b92565UcdUniPk,0.9193332195,0.8288122416,,wgEncodeAwgTfbsSydhHuvecCjunUniPk,0.9697256684,0.910695672
wgEncodeAwgTfbsSydhH1hescBrca1IggrabUniPk,0.8907903433,0.796551168,,wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk,0.9877842069,0.949019134
wgEncodeAwgTfbsSydhHepg2Usf2IggrabUniPk,0.8671133518,0.7673611045,,wgEncodeAwgTfbsSydhHuvecMaxUniPk,0.9767533541,0.9249052405
