Name,Train Size,Loss,Accuracy,Precision,Recall,PR AUC,ROC AUC,F1 Score
wgEncodeAwgTfbsSydhK562CmycUniPk,7895,0.24726609885692596,0.8952429294586182,0.8889459371566772,0.9053427577018738,0.9650721549987793,0.9638373851776123,0.8964118361473083
wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk,6489,0.5262621641159058,0.7992610931396484,0.8150556087493896,0.789743959903717,0.8880594968795776,0.8885862231254578,0.8014275431632996
wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk,14461,0.30117079615592957,0.8791816234588623,0.8814507126808167,0.8783860802650452,0.9522790908813477,0.9527287483215332,0.8790162205696106
wgEncodeAwgTfbsSydhHelas3P300sc584sc584IggrabUniPk,40237,0.2713897228240967,0.8909199237823486,0.890829861164093,0.8907963037490845,0.956015408039093,0.9565081000328064,0.8899171948432922
wgEncodeAwgTfbsHaibT47dP300V0416102Dm002p1hUniPk,21943,0.4350075125694275,0.8099399209022522,0.8203989267349243,0.7963661551475525,0.8944117426872253,0.8952628374099731,0.8071566820144653
wgEncodeAwgTfbsHaibK562GabpV0416101UniPk,22328,0.23454776406288147,0.9026263952255249,0.9081305861473083,0.8960185647010803,0.968353807926178,0.9680309295654297,0.9015939831733704
wgEncodeAwgTfbsSydhH1hescChd2IggrabUniPk,10748,0.2685490548610687,0.8829431533813477,0.8906362652778625,0.8804788589477539,0.9575487375259399,0.9566828012466431,0.8850189447402954
wgEncodeAwgTfbsSydhHek293Pol2UniPk,17824,0.47078463435173035,0.7717489004135132,0.787771999835968,0.7573855519294739,0.8641135692596436,0.8621844053268433,0.7710544466972351
wgEncodeAwgTfbsSydhHelas3Brca1a300IggrabUniPk,12620,0.2658206820487976,0.891635000705719,0.8999897837638855,0.8823768496513367,0.9586853384971619,0.9591206908226013,0.890578031539917
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk,125933,0.12248136848211288,0.9555779695510864,0.9592807292938232,0.9516690969467163,0.98927903175354,0.9898059964179993,0.955089271068573
